1	2342.04505587	2647.56330895	2683.79807901	2591.61127496	2626.27840781
2	1493.22715211	1513.79409289	1502.0969758	1494.53288198	1481.80605912
3	1038.6474812	1039.89278388	1044.36663198	1052.35934806	1041.14227605
4	828.561209917	855.654107094	825.867943048	827.894226074	835.987874031
5	723.768954992	723.484591961	713.062751055	720.997976065	714.148633957
6	648.352055073	644.546565056	625.770483017	628.520340919	635.477761984
7	589.31567502	580.094731808	606.271547079	589.265500069	589.141177177
8	564.29795289	550.486136913	579.967045069	565.026365995	559.839941978
9	565.931975126	553.602137089	550.938448906	557.775681973	543.655566931
10	545.836898088	541.771572113	546.134592056	539.196430206	544.431782007
11	540.343594074	538.684275866	552.049775839	542.613187075	561.956016064
12	548.123972893	540.073278904	539.29795289	533.489533901	539.03548193
13	532.799499989	532.971522093	535.268700838	565.482122183	533.880177021
14	537.808726072	546.240729094	543.097505808	556.579654932	563.567358017
15	569.584233999	571.995018005	531.299993992	536.381879091	525.109735012
16	533.135564089	555.940011024	533.583332062	537.050457001	530.494665861
17	535.313781977	543.845247984	526.457638025	549.891382933	558.033869028
18	543.419220924	536.606929064	542.923673153	541.257081985	536.968013048
19	540.895371914	533.687299967	528.700076103	554.596403837	530.642619848
20	531.014520168	525.515448809	534.002541065	529.134259939	527.794448853
